road_set,flood_buffer_m,market_dedup_m,name,names,member_count,x,y,lon,lat,osm_ids,node,snap_distance_m,flooded
core,10,150,Gobindaganj Bazar,['Gobindaganj Bazar'],1,367208.16128399107,2757759.521194715,91.6848797,24.9292802,['node/5217714118'],9850062402,7.468741178376925,False
core,10,150,Kudratullah Market,['Kudratullah Market'],1,385865.54261639965,2753358.4369214443,91.8699868,24.8910565,['node/5158375873'],2848696831,18.551739946904256,False
core,10,150,Masjid Market,['Masjid Market'],1,385573.3522005348,2752798.3587882374,91.86714049108848,24.88597736845403,['way/531401451'],2848696801,30.316170045907487,False
core,10,150,Municipal Market,['Municipal Market'],1,385877.55561810324,2753194.8709218088,91.87011915981475,24.88958048764533,['way/531399738'],9828966142,116.3746576955369,False
core,10,150,Rikabi Bazar,['Rikabi Bazar'],2,385044.0401743774,2754231.028561962,91.86178235,24.898873700000003,"['node/3715218274', 'node/6065531584']",3715204190,16.808084126491146,False
core,10,150,Shosta Bazar,['Shosta Bazar'],1,386243.59358026134,2753851.6560457055,91.8736888,24.8955383,['node/5130373101'],264488897,24.06695491441664,False
core,20,50,Eidris Market,"['Eidris Market', 'Shukriya Market', 'Tintara Biponi']",3,385822.80613287544,2753684.657560425,91.86953692047398,24.893998890828183,"['node/5158262546', 'way/531376350', 'way/531377266']",5219257391,16.68047807834789,False
core,20,50,Goabari Bazar,['Goabari Bazar'],1,384027.68680772337,2756589.8953639804,91.8515235,24.9200957,['node/6068159018'],9957354734,6.630778732814671,False
core,20,50,Gobindaganj Bazar,['Gobindaganj Bazar'],1,367208.16128399107,2757759.521194715,91.6848797,24.9292802,['node/5217714118'],9850062402,7.468741178376925,False
core,20,50,Kudratullah Market,['Kudratullah Market'],1,385865.54261639965,2753358.4369214443,91.8699868,24.8910565,['node/5158375873'],2848696831,18.551739946904256,False
core,20,50,Masjid Market,['Masjid Market'],1,385573.3522005348,2752798.3587882374,91.86714049108848,24.88597736845403,['way/531401451'],2848696801,30.316170045907487,False
core,20,50,Municipal Market,['Municipal Market'],1,385877.55561810324,2753194.8709218088,91.87011915981475,24.88958048764533,['way/531399738'],9828966142,116.3746576955369,False
core,20,50,Rikabi Bazar,['Rikabi Bazar'],1,385017.7571200174,2754230.462099248,91.8615222,24.8988666,['node/3715218274'],10022371606,8.279357840922364,False
core,20,50,Rikabi Bazar,['Rikabi Bazar'],1,385070.32322873734,2754231.595024675,91.8620425,24.8988808,['node/6065531584'],6062803283,21.15521838523438,False
core,20,50,Shosta Bazar,['Shosta Bazar'],1,386243.59358026134,2753851.6560457055,91.8736888,24.8955383,['node/5130373101'],264488897,24.06695491441664,False
core,20,100,Eidris Market,"['Eidris Market', 'Shukriya Market', 'Tintara Biponi']",3,385822.80613287544,2753684.657560425,91.86953692047398,24.893998890828183,"['node/5158262546', 'way/531376350', 'way/531377266']",5219257391,16.68047807834789,False
core,20,100,Goabari Bazar,['Goabari Bazar'],1,384027.68680772337,2756589.8953639804,91.8515235,24.9200957,['node/6068159018'],9957354734,6.630778732814671,False
core,20,100,Gobindaganj Bazar,['Gobindaganj Bazar'],1,367208.16128399107,2757759.521194715,91.6848797,24.9292802,['node/5217714118'],9850062402,7.468741178376925,False
core,20,100,Kudratullah Market,['Kudratullah Market'],1,385865.54261639965,2753358.4369214443,91.8699868,24.8910565,['node/5158375873'],2848696831,18.551739946904256,False
core,20,100,Masjid Market,['Masjid Market'],1,385573.3522005348,2752798.3587882374,91.86714049108848,24.88597736845403,['way/531401451'],2848696801,30.316170045907487,False
core,20,100,Municipal Market,['Municipal Market'],1,385877.55561810324,2753194.8709218088,91.87011915981475,24.88958048764533,['way/531399738'],9828966142,116.3746576955369,False
core,20,100,Rikabi Bazar,['Rikabi Bazar'],2,385044.0401743774,2754231.028561962,91.86178235,24.898873700000003,"['node/3715218274', 'node/6065531584']",3715204190,16.808084126491146,False
core,20,100,Shosta Bazar,['Shosta Bazar'],1,386243.59358026134,2753851.6560457055,91.8736888,24.8955383,['node/5130373101'],264488897,24.06695491441664,False
core,20,150,Eidris Market,"['Eidris Market', 'Shukriya Market', 'Tintara Biponi']",3,385822.80613287544,2753684.657560425,91.86953692047398,24.893998890828183,"['node/5158262546', 'way/531376350', 'way/531377266']",5219257391,16.68047807834789,False
core,20,150,Goabari Bazar,['Goabari Bazar'],1,384027.68680772337,2756589.8953639804,91.8515235,24.9200957,['node/6068159018'],9957354734,6.630778732814671,False
core,20,150,Gobindaganj Bazar,['Gobindaganj Bazar'],1,367208.16128399107,2757759.521194715,91.6848797,24.9292802,['node/5217714118'],9850062402,7.468741178376925,False
core,20,150,Kudratullah Market,['Kudratullah Market'],1,385865.54261639965,2753358.4369214443,91.8699868,24.8910565,['node/5158375873'],2848696831,18.551739946904256,False
core,20,150,Masjid Market,['Masjid Market'],1,385573.3522005348,2752798.3587882374,91.86714049108848,24.88597736845403,['way/531401451'],2848696801,30.316170045907487,False
core,20,150,Municipal Market,['Municipal Market'],1,385877.55561810324,2753194.8709218088,91.87011915981475,24.88958048764533,['way/531399738'],9828966142,116.3746576955369,False
core,20,150,Rikabi Bazar,['Rikabi Bazar'],2,385044.0401743774,2754231.028561962,91.86178235,24.898873700000003,"['node/3715218274', 'node/6065531584']",3715204190,16.808084126491146,False
core,20,150,Shosta Bazar,['Shosta Bazar'],1,386243.59358026134,2753851.6560457055,91.8736888,24.8955383,['node/5130373101'],264488897,24.06695491441664,False
core,30,50,Eidris Market,"['Eidris Market', 'Shukriya Market', 'Tintara Biponi']",3,385822.80613287544,2753684.657560425,91.86953692047398,24.893998890828183,"['node/5158262546', 'way/531376350', 'way/531377266']",5219257391,16.68047807834789,False
core,30,50,Goabari Bazar,['Goabari Bazar'],1,384027.68680772337,2756589.8953639804,91.8515235,24.9200957,['node/6068159018'],9957354734,6.630778732814671,False
core,30,50,Gobindaganj Bazar,['Gobindaganj Bazar'],1,367208.16128399107,2757759.521194715,91.6848797,24.9292802,['node/5217714118'],9850062402,7.468741178376925,False
core,30,50,Kudratullah Market,['Kudratullah Market'],1,385865.54261639965,2753358.4369214443,91.8699868,24.8910565,['node/5158375873'],2848696831,18.551739946904256,False
core,30,50,Masjid Market,['Masjid Market'],1,385573.3522005348,2752798.3587882374,91.86714049108848,24.88597736845403,['way/531401451'],2848696801,30.316170045907487,False
core,30,50,Municipal Market,['Municipal Market'],1,385877.55561810324,2753194.8709218088,91.87011915981475,24.88958048764533,['way/531399738'],9828966142,116.3746576955369,False
core,30,50,Rikabi Bazar,['Rikabi Bazar'],1,385017.7571200174,2754230.462099248,91.8615222,24.8988666,['node/3715218274'],10022371606,8.279357840922364,False
core,30,50,Rikabi Bazar,['Rikabi Bazar'],1,385070.32322873734,2754231.595024675,91.8620425,24.8988808,['node/6065531584'],6062803283,21.15521838523438,False
core,30,50,Shosta Bazar,['Shosta Bazar'],1,386243.59358026134,2753851.6560457055,91.8736888,24.8955383,['node/5130373101'],264488897,24.06695491441664,False
core,30,100,Eidris Market,"['Eidris Market', 'Shukriya Market', 'Tintara Biponi']",3,385822.80613287544,2753684.657560425,91.86953692047398,24.893998890828183,"['node/5158262546', 'way/531376350', 'way/531377266']",5219257391,16.68047807834789,False
core,30,100,Goabari Bazar,['Goabari Bazar'],1,384027.68680772337,2756589.8953639804,91.8515235,24.9200957,['node/6068159018'],9957354734,6.630778732814671,False
core,30,100,Gobindaganj Bazar,['Gobindaganj Bazar'],1,367208.16128399107,2757759.521194715,91.6848797,24.9292802,['node/5217714118'],9850062402,7.468741178376925,False
core,30,100,Kudratullah Market,['Kudratullah Market'],1,385865.54261639965,2753358.4369214443,91.8699868,24.8910565,['node/5158375873'],2848696831,18.551739946904256,False
core,30,100,Masjid Market,['Masjid Market'],1,385573.3522005348,2752798.3587882374,91.86714049108848,24.88597736845403,['way/531401451'],2848696801,30.316170045907487,False
core,30,100,Municipal Market,['Municipal Market'],1,385877.55561810324,2753194.8709218088,91.87011915981475,24.88958048764533,['way/531399738'],9828966142,116.3746576955369,False
core,30,100,Rikabi Bazar,['Rikabi Bazar'],2,385044.0401743774,2754231.028561962,91.86178235,24.898873700000003,"['node/3715218274', 'node/6065531584']",3715204190,16.808084126491146,False
core,30,100,Shosta Bazar,['Shosta Bazar'],1,386243.59358026134,2753851.6560457055,91.8736888,24.8955383,['node/5130373101'],264488897,24.06695491441664,False
core,30,150,Eidris Market,"['Eidris Market', 'Shukriya Market', 'Tintara Biponi']",3,385822.80613287544,2753684.657560425,91.86953692047398,24.893998890828183,"['node/5158262546', 'way/531376350', 'way/531377266']",5219257391,16.68047807834789,False
core,30,150,Goabari Bazar,['Goabari Bazar'],1,384027.68680772337,2756589.8953639804,91.8515235,24.9200957,['node/6068159018'],9957354734,6.630778732814671,False
core,30,150,Gobindaganj Bazar,['Gobindaganj Bazar'],1,367208.16128399107,2757759.521194715,91.6848797,24.9292802,['node/5217714118'],9850062402,7.468741178376925,False
core,30,150,Kudratullah Market,['Kudratullah Market'],1,385865.54261639965,2753358.4369214443,91.8699868,24.8910565,['node/5158375873'],2848696831,18.551739946904256,False
core,30,150,Masjid Market,['Masjid Market'],1,385573.3522005348,2752798.3587882374,91.86714049108848,24.88597736845403,['way/531401451'],2848696801,30.316170045907487,False
core,30,150,Municipal Market,['Municipal Market'],1,385877.55561810324,2753194.8709218088,91.87011915981475,24.88958048764533,['way/531399738'],9828966142,116.3746576955369,False
core,30,150,Rikabi Bazar,['Rikabi Bazar'],2,385044.0401743774,2754231.028561962,91.86178235,24.898873700000003,"['node/3715218274', 'node/6065531584']",3715204190,16.808084126491146,False
core,30,150,Shosta Bazar,['Shosta Bazar'],1,386243.59358026134,2753851.6560457055,91.8736888,24.8955383,['node/5130373101'],264488897,24.06695491441664,False
broad,10,50,Eidris Market,"['Eidris Market', 'Shukriya Market', 'Tintara Biponi']",3,385822.80613287544,2753684.657560425,91.86953692047398,24.893998890828183,"['node/5158262546', 'way/531376350', 'way/531377266']",5219257391,16.68047807834789,False
broad,10,50,Goabari Bazar,['Goabari Bazar'],1,384027.68680772337,2756589.8953639804,91.8515235,24.9200957,['node/6068159018'],9957354734,6.630778732814671,False
broad,10,50,Gobindaganj Bazar,['Gobindaganj Bazar'],1,367208.16128399107,2757759.521194715,91.6848797,24.9292802,['node/5217714118'],9850062402,7.468741178376925,False
broad,10,50,Kudratullah Market,['Kudratullah Market'],1,385865.54261639965,2753358.4369214443,91.8699868,24.8910565,['node/5158375873'],2848696831,18.551739946904256,False
broad,10,50,Masjid Market,['Masjid Market'],1,385573.3522005348,2752798.3587882374,91.86714049108848,24.88597736845403,['way/531401451'],2848696801,30.316170045907487,False
broad,10,50,Municipal Market,['Municipal Market'],1,385877.55561810324,2753194.8709218088,91.87011915981475,24.88958048764533,['way/531399738'],9828849252,21.11935899396586,False
broad,10,50,Rikabi Bazar,['Rikabi Bazar'],1,385017.7571200174,2754230.462099248,91.8615222,24.8988666,['node/3715218274'],10022371606,8.279357840922364,False
broad,10,50,Rikabi Bazar,['Rikabi Bazar'],1,385070.32322873734,2754231.595024675,91.8620425,24.8988808,['node/6065531584'],6062803283,21.15521838523438,False
broad,10,50,Shosta Bazar,['Shosta Bazar'],1,386243.59358026134,2753851.6560457055,91.8736888,24.8955383,['node/5130373101'],264488897,24.06695491441664,False
broad,10,100,Eidris Market,"['Eidris Market', 'Shukriya Market', 'Tintara Biponi']",3,385822.80613287544,2753684.657560425,91.86953692047398,24.893998890828183,"['node/5158262546', 'way/531376350', 'way/531377266']",5219257391,16.68047807834789,False
broad,10,100,Goabari Bazar,['Goabari Bazar'],1,384027.68680772337,2756589.8953639804,91.8515235,24.9200957,['node/6068159018'],9957354734,6.630778732814671,False
broad,10,100,Gobindaganj Bazar,['Gobindaganj Bazar'],1,367208.16128399107,2757759.521194715,91.6848797,24.9292802,['node/5217714118'],9850062402,7.468741178376925,False
broad,10,100,Kudratullah Market,['Kudratullah Market'],1,385865.54261639965,2753358.4369214443,91.8699868,24.8910565,['node/5158375873'],2848696831,18.551739946904256,False
broad,10,100,Masjid Market,['Masjid Market'],1,385573.3522005348,2752798.3587882374,91.86714049108848,24.88597736845403,['way/531401451'],2848696801,30.316170045907487,False
broad,10,100,Municipal Market,['Municipal Market'],1,385877.55561810324,2753194.8709218088,91.87011915981475,24.88958048764533,['way/531399738'],9828849252,21.11935899396586,False
broad,10,100,Rikabi Bazar,['Rikabi Bazar'],2,385044.0401743774,2754231.028561962,91.86178235,24.898873700000003,"['node/3715218274', 'node/6065531584']",3715204190,16.808084126491146,False
broad,10,100,Shosta Bazar,['Shosta Bazar'],1,386243.59358026134,2753851.6560457055,91.8736888,24.8955383,['node/5130373101'],264488897,24.06695491441664,False
broad,10,150,Eidris Market,"['Eidris Market', 'Shukriya Market', 'Tintara Biponi']",3,385822.80613287544,2753684.657560425,91.86953692047398,24.893998890828183,"['node/5158262546', 'way/531376350', 'way/531377266']",5219257391,16.68047807834789,False
broad,10,150,Goabari Bazar,['Goabari Bazar'],1,384027.68680772337,2756589.8953639804,91.8515235,24.9200957,['node/6068159018'],9957354734,6.630778732814671,False
broad,10,150,Gobindaganj Bazar,['Gobindaganj Bazar'],1,367208.16128399107,2757759.521194715,91.6848797,24.9292802,['node/5217714118'],9850062402,7.468741178376925,False
broad,10,150,Kudratullah Market,['Kudratullah Market'],1,385865.54261639965,2753358.4369214443,91.8699868,24.8910565,['node/5158375873'],2848696831,18.551739946904256,False
broad,10,150,Masjid Market,['Masjid Market'],1,385573.3522005348,2752798.3587882374,91.86714049108848,24.88597736845403,['way/531401451'],2848696801,30.316170045907487,False
broad,10,150,Municipal Market,['Municipal Market'],1,385877.55561810324,2753194.8709218088,91.87011915981475,24.88958048764533,['way/531399738'],9828849252,21.11935899396586,False
broad,10,150,Rikabi Bazar,['Rikabi Bazar'],2,385044.0401743774,2754231.028561962,91.86178235,24.898873700000003,"['node/3715218274', 'node/6065531584']",3715204190,16.808084126491146,False
broad,10,150,Shosta Bazar,['Shosta Bazar'],1,386243.59358026134,2753851.6560457055,91.8736888,24.8955383,['node/5130373101'],264488897,24.06695491441664,False
broad,20,50,Eidris Market,"['Eidris Market', 'Shukriya Market', 'Tintara Biponi']",3,385822.80613287544,2753684.657560425,91.86953692047398,24.893998890828183,"['node/5158262546', 'way/531376350', 'way/531377266']",5219257391,16.68047807834789,False
broad,20,50,Goabari Bazar,['Goabari Bazar'],1,384027.68680772337,2756589.8953639804,91.8515235,24.9200957,['node/6068159018'],9957354734,6.630778732814671,False
broad,20,50,Gobindaganj Bazar,['Gobindaganj Bazar'],1,367208.16128399107,2757759.521194715,91.6848797,24.9292802,['node/5217714118'],9850062402,7.468741178376925,False
broad,20,50,Kudratullah Market,['Kudratullah Market'],1,385865.54261639965,2753358.4369214443,91.8699868,24.8910565,['node/5158375873'],2848696831,18.551739946904256,False
broad,20,50,Masjid Market,['Masjid Market'],1,385573.3522005348,2752798.3587882374,91.86714049108848,24.88597736845403,['way/531401451'],2848696801,30.316170045907487,False
broad,20,50,Municipal Market,['Municipal Market'],1,385877.55561810324,2753194.8709218088,91.87011915981475,24.88958048764533,['way/531399738'],9828849252,21.11935899396586,False
broad,20,50,Rikabi Bazar,['Rikabi Bazar'],1,385017.7571200174,2754230.462099248,91.8615222,24.8988666,['node/3715218274'],10022371606,8.279357840922364,False
broad,20,50,Rikabi Bazar,['Rikabi Bazar'],1,385070.32322873734,2754231.595024675,91.8620425,24.8988808,['node/6065531584'],6062803283,21.15521838523438,False
broad,20,50,Shosta Bazar,['Shosta Bazar'],1,386243.59358026134,2753851.6560457055,91.8736888,24.8955383,['node/5130373101'],264488897,24.06695491441664,False
broad,20,100,Eidris Market,"['Eidris Market', 'Shukriya Market', 'Tintara Biponi']",3,385822.80613287544,2753684.657560425,91.86953692047398,24.893998890828183,"['node/5158262546', 'way/531376350', 'way/531377266']",5219257391,16.68047807834789,False
broad,20,100,Goabari Bazar,['Goabari Bazar'],1,384027.68680772337,2756589.8953639804,91.8515235,24.9200957,['node/6068159018'],9957354734,6.630778732814671,False
broad,20,100,Gobindaganj Bazar,['Gobindaganj Bazar'],1,367208.16128399107,2757759.521194715,91.6848797,24.9292802,['node/5217714118'],9850062402,7.468741178376925,False
broad,20,100,Kudratullah Market,['Kudratullah Market'],1,385865.54261639965,2753358.4369214443,91.8699868,24.8910565,['node/5158375873'],2848696831,18.551739946904256,False
broad,20,100,Masjid Market,['Masjid Market'],1,385573.3522005348,2752798.3587882374,91.86714049108848,24.88597736845403,['way/531401451'],2848696801,30.316170045907487,False
broad,20,100,Municipal Market,['Municipal Market'],1,385877.55561810324,2753194.8709218088,91.87011915981475,24.88958048764533,['way/531399738'],9828849252,21.11935899396586,False
broad,20,100,Rikabi Bazar,['Rikabi Bazar'],2,385044.0401743774,2754231.028561962,91.86178235,24.898873700000003,"['node/3715218274', 'node/6065531584']",3715204190,16.808084126491146,False
broad,20,100,Shosta Bazar,['Shosta Bazar'],1,386243.59358026134,2753851.6560457055,91.8736888,24.8955383,['node/5130373101'],264488897,24.06695491441664,False
broad,20,150,Eidris Market,"['Eidris Market', 'Shukriya Market', 'Tintara Biponi']",3,385822.80613287544,2753684.657560425,91.86953692047398,24.893998890828183,"['node/5158262546', 'way/531376350', 'way/531377266']",5219257391,16.68047807834789,False
broad,20,150,Goabari Bazar,['Goabari Bazar'],1,384027.68680772337,2756589.8953639804,91.8515235,24.9200957,['node/6068159018'],9957354734,6.630778732814671,False
broad,20,150,Gobindaganj Bazar,['Gobindaganj Bazar'],1,367208.16128399107,2757759.521194715,91.6848797,24.9292802,['node/5217714118'],9850062402,7.468741178376925,False
broad,20,150,Kudratullah Market,['Kudratullah Market'],1,385865.54261639965,2753358.4369214443,91.8699868,24.8910565,['node/5158375873'],2848696831,18.551739946904256,False
broad,20,150,Masjid Market,['Masjid Market'],1,385573.3522005348,2752798.3587882374,91.86714049108848,24.88597736845403,['way/531401451'],2848696801,30.316170045907487,False
broad,20,150,Municipal Market,['Municipal Market'],1,385877.55561810324,2753194.8709218088,91.87011915981475,24.88958048764533,['way/531399738'],9828849252,21.11935899396586,False
broad,20,150,Rikabi Bazar,['Rikabi Bazar'],2,385044.0401743774,2754231.028561962,91.86178235,24.898873700000003,"['node/3715218274', 'node/6065531584']",3715204190,16.808084126491146,False
broad,20,150,Shosta Bazar,['Shosta Bazar'],1,386243.59358026134,2753851.6560457055,91.8736888,24.8955383,['node/5130373101'],264488897,24.06695491441664,False
broad,30,50,Eidris Market,"['Eidris Market', 'Shukriya Market', 'Tintara Biponi']",3,385822.80613287544,2753684.657560425,91.86953692047398,24.893998890828183,"['node/5158262546', 'way/531376350', 'way/531377266']",5219257391,16.68047807834789,False
broad,30,50,Goabari Bazar,['Goabari Bazar'],1,384027.68680772337,2756589.8953639804,91.8515235,24.9200957,['node/6068159018'],9957354734,6.630778732814671,False
broad,30,50,Gobindaganj Bazar,['Gobindaganj Bazar'],1,367208.16128399107,2757759.521194715,91.6848797,24.9292802,['node/5217714118'],9850062402,7.468741178376925,False
broad,30,50,Kudratullah Market,['Kudratullah Market'],1,385865.54261639965,2753358.4369214443,91.8699868,24.8910565,['node/5158375873'],2848696831,18.551739946904256,False
broad,30,50,Masjid Market,['Masjid Market'],1,385573.3522005348,2752798.3587882374,91.86714049108848,24.88597736845403,['way/531401451'],2848696801,30.316170045907487,False
broad,30,50,Municipal Market,['Municipal Market'],1,385877.55561810324,2753194.8709218088,91.87011915981475,24.88958048764533,['way/531399738'],9828849252,21.11935899396586,False
broad,30,50,Rikabi Bazar,['Rikabi Bazar'],1,385017.7571200174,2754230.462099248,91.8615222,24.8988666,['node/3715218274'],10022371606,8.279357840922364,False
broad,30,50,Rikabi Bazar,['Rikabi Bazar'],1,385070.32322873734,2754231.595024675,91.8620425,24.8988808,['node/6065531584'],6062803283,21.15521838523438,False
broad,30,50,Shosta Bazar,['Shosta Bazar'],1,386243.59358026134,2753851.6560457055,91.8736888,24.8955383,['node/5130373101'],264488897,24.06695491441664,False
broad,30,100,Eidris Market,"['Eidris Market', 'Shukriya Market', 'Tintara Biponi']",3,385822.80613287544,2753684.657560425,91.86953692047398,24.893998890828183,"['node/5158262546', 'way/531376350', 'way/531377266']",5219257391,16.68047807834789,False
broad,30,100,Goabari Bazar,['Goabari Bazar'],1,384027.68680772337,2756589.8953639804,91.8515235,24.9200957,['node/6068159018'],9957354734,6.630778732814671,False
broad,30,100,Gobindaganj Bazar,['Gobindaganj Bazar'],1,367208.16128399107,2757759.521194715,91.6848797,24.9292802,['node/5217714118'],9850062402,7.468741178376925,False
broad,30,100,Kudratullah Market,['Kudratullah Market'],1,385865.54261639965,2753358.4369214443,91.8699868,24.8910565,['node/5158375873'],2848696831,18.551739946904256,False
broad,30,100,Masjid Market,['Masjid Market'],1,385573.3522005348,2752798.3587882374,91.86714049108848,24.88597736845403,['way/531401451'],2848696801,30.316170045907487,False
broad,30,100,Municipal Market,['Municipal Market'],1,385877.55561810324,2753194.8709218088,91.87011915981475,24.88958048764533,['way/531399738'],9828849252,21.11935899396586,False
broad,30,100,Rikabi Bazar,['Rikabi Bazar'],2,385044.0401743774,2754231.028561962,91.86178235,24.898873700000003,"['node/3715218274', 'node/6065531584']",3715204190,16.808084126491146,False
broad,30,100,Shosta Bazar,['Shosta Bazar'],1,386243.59358026134,2753851.6560457055,91.8736888,24.8955383,['node/5130373101'],264488897,24.06695491441664,False
broad,30,150,Eidris Market,"['Eidris Market', 'Shukriya Market', 'Tintara Biponi']",3,385822.80613287544,2753684.657560425,91.86953692047398,24.893998890828183,"['node/5158262546', 'way/531376350', 'way/531377266']",5219257391,16.68047807834789,False
broad,30,150,Goabari Bazar,['Goabari Bazar'],1,384027.68680772337,2756589.8953639804,91.8515235,24.9200957,['node/6068159018'],9957354734,6.630778732814671,False
broad,30,150,Gobindaganj Bazar,['Gobindaganj Bazar'],1,367208.16128399107,2757759.521194715,91.6848797,24.9292802,['node/5217714118'],9850062402,7.468741178376925,False
broad,30,150,Kudratullah Market,['Kudratullah Market'],1,385865.54261639965,2753358.4369214443,91.8699868,24.8910565,['node/5158375873'],2848696831,18.551739946904256,False
broad,30,150,Masjid Market,['Masjid Market'],1,385573.3522005348,2752798.3587882374,91.86714049108848,24.88597736845403,['way/531401451'],2848696801,30.316170045907487,False
broad,30,150,Municipal Market,['Municipal Market'],1,385877.55561810324,2753194.8709218088,91.87011915981475,24.88958048764533,['way/531399738'],9828849252,21.11935899396586,False
broad,30,150,Rikabi Bazar,['Rikabi Bazar'],2,385044.0401743774,2754231.028561962,91.86178235,24.898873700000003,"['node/3715218274', 'node/6065531584']",3715204190,16.808084126491146,False
broad,30,150,Shosta Bazar,['Shosta Bazar'],1,386243.59358026134,2753851.6560457055,91.8736888,24.8955383,['node/5130373101'],264488897,24.06695491441664,False
